STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1152.0,KUNDALIKA AT ROHA CITY,MAHARASHTRA,28.92,6.84,7.56,100.12,2.97,Unsafe,,,['BOD']
2198.0,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,28.92,6.68,7.47,316.4,4.55,Unsafe,,,['BOD']
2671.0,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,28.25,5.76,7.87,37226.7,9.47,Unsafe,,,"['EC', 'DO', 'BOD']"
2672.0,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATION-SWEET ZONE), ROHA",MAHARASHTRA,28.82,6.9,7.66,84.21,3.06,Unsafe,,,['BOD']
2168.0,MITHI RIVER,MAHARASHTRA,25.36,4.88,7.6,21254.0,55.55,Unsafe,,,"['EC', 'DO', 'BOD']"
2676.0,"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,28.25,6.92,7.91,311.65,2.68,Unsafe,,,['BOD']
1151.0,PATALGANGA AT SHILPHATA,MAHARASHTRA,29.0,6.8,7.48,145.86,3.04,Unsafe,,,['BOD']
1462.0,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,29.0,6.74,7.34,126.86,2.91,Unsafe,,,['BOD']
2685.0,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,29.18,5.64,6.89,432.39,4.48,Unsafe,,,"['DO', 'BOD']"
2686.0,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,29.18,6.52,7.34,125.96,3.02,Unsafe,,,['BOD']
2687.0,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,29.6,7.14,7.47,128.31,2.98,Unsafe,,,['BOD']
2688.0,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,29.6,6.43,7.34,129.08,3.06,Unsafe,,,['BOD']
2689.0,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,29.1,6.88,7.66,129.42,2.94,Unsafe,,,['BOD']
2696.0,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,25.25,6.97,7.94,152.77,2.88,Unsafe,,,['BOD']
2199.0,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,30.08,6.39,7.57,10164.8,3.67,Unsafe,,,"['EC', 'BOD']"
2701.0,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,30.31,6.9,7.7,307.13,2.8,Unsafe,,,['BOD']
2702.0,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,30.58,6.29,7.65,322.33,3.48,Unsafe,,,['BOD']
2703.0,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,30.25,6.54,7.52,5835.17,3.37,Unsafe,,,"['EC', 'BOD']"
2704.0,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,30.25,6.28,7.43,9244.58,4.65,Unsafe,,,"['EC', 'BOD']"
2706.0,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.82,6.46,8.12,1906.86,4.0,Unsafe,,,"['EC', 'BOD']"
2707.0,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.64,6.99,8.02,1895.56,3.55,Unsafe,,,"['EC', 'BOD']"
