STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean
2369.0,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH,19.91,5.59,7.18,561.91,2.04
2370.0,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,25.64,5.95,7.43,291.27,1.05
14.0,GODAVARI AT POLAVARAM,ANDHRA PRADESH,26.82,6.08,7.81,254.0,1.05
1218.0,GODAVARI AT RAJAHMUNDRY U/S,ANDHRA PRADESH,26.68,5.95,7.69,244.55,1.04
2371.0,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,25.45,5.93,7.35,313.27,1.15
1219.0,GODAVARI AT RAJAHMUNDRY D/S,ANDHRA PRADESH,25.27,5.98,7.45,284.0,1.16
2673.0,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.",MAHARASHTRA,26.5,6.78,8.38,515.07,4.07
2374.0,MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,ANDHRA PRADESH,28.46,6.75,7.89,426.42,1.8
2375.0,MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU,ANDHRA PRADESH,28.2,6.08,7.87,524.5,2.76
1781.0,"MANJEERA - NEAR GANAPATHI SUGARS , MEDAK DIST",ANDHRA PRADESH,27.36,6.79,8.24,397.64,1.55
1157.0,MANJERA AT RAIPALLU,ANDHRA PRADESH,28.27,6.85,8.23,350.55,1.11
1215.0,MANER AT WARANGAL U/S,ANDHRA PRADESH,28.38,5.19,7.91,567.5,15.4
1158.0,MANER AT SOMNAPALLI,ANDHRA PRADESH,28.29,4.16,8.12,467.57,7.79
2719.0,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,18.42,4.75,8.15,1055.0,7.93
2720.0,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,19.42,5.12,8.17,921.17,6.64
2721.0,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",MAHARASHTRA,19.08,5.77,8.28,769.71,5.41
2174.0,WARDHA RIVER D/S OF ACC GHUGGUS.,MAHARASHTRA,20.08,5.08,8.24,859.15,8.55
2156.0,WARDHA AT CONFL. POINT OF PENGANGA & WARDHA AT JUAD.,MAHARASHTRA,19.08,5.49,8.15,753.83,5.69
1212.0,WARDHA AT RAJURA BRIDGE,MAHARASHTRA,18.5,5.54,8.16,1106.25,6.85
1214.0,WAINGANGA AT CHINDWARA,MADHYA PRADESH,23.0,7.38,7.47,382.92,2.12
1910.0,WAINGANGA A/C WITH KANHAN,MAHARASHTRA,19.67,5.33,8.22,639.5,8.73
2173.0,WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,MAHARASHTRA,23.08,5.52,8.27,436.0,6.63
2172.0,WAINGANGA RIVER D/S OF ELLORA PAPER MILL.,MAHARASHTRA,22.92,4.95,8.34,473.5,8.19
2175.0,"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA,18.58,5.56,8.27,662.8,5.82
2176.0,"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA,19.25,4.84,8.33,883.0,8.03
11.0,WAINGANGA AT ASHTI,MAHARASHTRA,20.08,5.89,8.14,728.17,5.56
1908.0,KOLAR B/C/ TO KANHAN AT KAMPTEE,MAHARASHTRA,22.0,5.0,8.0,640.0,6.0
1909.0,KANHAN D/S OF NAGPUR,MAHARASHTRA,20.0,5.18,8.1,696.67,7.07
2170.0,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA,22.42,5.39,8.33,549.06,6.32
2171.0,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA,23.42,4.82,8.34,626.82,8.03
1913.0,PURNA AT DHUPESHWAR,MAHARASHTRA,20.58,5.18,8.28,709.0,8.16
2700.0,"PURNA NR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",MAHARASHTRA,20.0,5.0,9.0,785.0,13.0
1315.0,"NIRA AT PULGAON COTTON MILL, WARDHA",MAHARASHTRA,19.0,4.93,8.28,539.17,8.99
2372.0,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",ANDHRA PRADESH,19.82,6.35,7.49,477.46,0.61
2373.0,"SABARI AT KUNAVARAM, KHAMMAM",ANDHRA PRADESH,19.91,6.95,7.21,97.45,0.5
2657.0,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",MAHARASHTRA,28.9,6.59,8.17,816.85,4.35
2660.0,"DARNA RIVER AT CHEHEDI PUMPING STATION, NASHIK.",MAHARASHTRA,24.73,5.83,7.48,270.28,4.21
2661.0,"DARNA RIVER AT ASWALI ( DARNA DAM), IGATPURI, NASHIK",MAHARASHTRA,24.42,6.4,7.56,186.71,3.23
2662.0,"DARNA AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",MAHARASHTRA,25.13,6.24,7.46,221.9,3.46
