STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
2175,"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",,,WORKING,,,,,,,,
2176,"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",,,WORKING,,,,,,,,
11,WAINGANGA AT ASHTI,442707,,WORKING,,,,,,,,
1908,KOLAR B/C/ TO KANHAN AT KAMPTEE,,,WORKING,,,,,,,,
1909,KANHAN D/S OF NAGPUR,441404,,WORKING,,,,,,,,
2170,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",,,WORKING,,,,,,,,
2171,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",,,WORKING,,,,,,,,
1913,PURNA AT DHUPESHWAR,,,WORKING,,,,,,,,
2700,"PURNA NR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",,,WORKING,,,,,,,,
1315,"NIRA AT PULGAON COTTON MILL, WARDHA",,,WORKING,,,,,,,,
2372,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",,,WORKING,,,,,,,,
2373,"SABARI AT KUNAVARAM, KHAMMAM",507129,,WORKING,,,,,,,,
2657,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",,,WORKING,,,,,,,,
2660,"DARNA RIVER AT CHEHEDI PUMPING STATION, NASHIK.",,,WORKING,,,,,,,,
2661,"DARNA RIVER AT ASWALI ( DARNA DAM), IGATPURI, NASHIK",,,WORKING,,,,,,,,
2662,"DARNA AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",,,WORKING,,,,,,,,
2663,"DARNAAT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.",,,WORKING,,,,,,,,
2664,"DARNA AT SANSARI, NASHIK.",,,WORKING,,,,,,,,
2697,"PENGANGA NR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",,,WORKING,,,,,,,,
2698,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",,,WORKING,,,,,,,,
2699,"PENGANGA AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",,,WORKING,,,,,,,,
2722,"WENA RIVER  AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",,,WORKING,,,,,,,,
2723,"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",,,WORKING,,,,,,,,
1194,KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,,,WORKING,,,,,,,,
1153,KRISHNA AT RAJAPUR WEIR,,,WORKING,,,,,,,,
36,"KRISHNA AT KRISHNA BRIDGE, KARAD",415539,,WORKING,,,,,,,,
1906,KRISHNA D/S OF ISLAMPUR,,,WORKING,,,,,,,,
37,KRISHNA AT SANGLI,416416,,WORKING,,,,,,,,
1310,KRISHNA AT KURUNDWAD IN KOLHAPUR,416003,,WORKING,,,,,,,,
2187,KRISHNA AT KSHETRA MAHULI.,415003,,WORKING,,,,,,,,
2188,"KRISHNA AT KRISHNA-VENNA SANGAM, MAHULI",415003,,WORKING,,,,,,,,
2190,KRISHNA RIVER AT WAI.,412803,,WORKING,,,,,,,,
1182,KRISHNA AT U/S OF UGARKHURD BARRAGE,,,WORKING,,,,,,,,
1889,KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,,,WORKING,,,,,,,,
1181,KRISHNA AT D/S OF NARAYANPURA DAM,,,WORKING,,,,,,,,
2781,KRISHNA AT D/S OF ALAMATTI DAM,,,WORKING,,,,,,,,
1784,"KRISHNA AT THANGADI , MAHABOOBNAGAR",509352,,WORKING,,,,,,,,
1175,"KRISHNA A/C TUNGABHADRA, SANGAMESHWARAM",,,WORKING,,,,,,,,
39,KRISHNA AT GADWAL BRIDGE,,,WORKING,,,,,,,,
1465,"KRISHNA AT WADAPALLY A/C WITH R. MUSI, A.P.(SHIFTED FROM 1220)",,,WORKING,,,,,,,,
1786,"KRISHNA AT VEDADRI , GUNTUR",,,WORKING,,,,,,,,
1787,"KRISHNA AT AMARAVATI , GUNTUR",522020,,WORKING,,,,,,,,
25,KRISHNA AT VIJAYWADA,520010,,WORKING,,,,,,,,
3079,"D/S OF KRISHNA A/C WITH TREATED SEWAGE DISCHARGING FROM 10MLD STP LOCATED AT RAMALINGESHWARNAGAR, VIJAYAWADA,  KRISHNA",,,WORKING,,,,,,,,
3083,"KRISHNA D/S OF SRISHAILAM,  KURNOOL",,,WORKING,,,,,,,,
1782,"KRISHNA AT HAMSALA DEEVI , GUNTUR",,,WORKING,,,,,,,,
1281,MAHANADI AT HIRAKUD RSVR,,,WORKING,,,,,,,,
1270,MAHANADI AT SAMBALPUR U/S,768001,,WORKING,,,,,,,,
1271,MAHANADI AT SAMBALPUR D/S,768001,,WORKING,,,,,,,,
2405,SAMBHALPUR FDS AT HUMA,,,WORKING,,,,,,,,
1272,MAHANADI D/S (A/C R. SONG SONEPUR U/S),,,WORKING,,,,,,,,
1274,MAHANADI A/C WITH R.TEL (SONEPUR D/S),,,WORKING,,,,,,,,
1275,MAHANADI AT TIKARPADA,759132,,WORKING,,,,,,,,
1276,MAHANADI AT NARSINGHPUR,,,WORKING,,,,,,,,
